School_name,county,Longitude,Latitude,Total_Enrollment
Academy of Art University,San Francisco,-122.400578,37.787943,9812.0
Academy of Chinese Culture and Health Sciences,Alameda,-122.26983899999999,37.805972,133.0
Avalon School of Cosmetology-Alameda,Alameda,-122.24356599999999,37.764203,47.0
College of Alameda,Alameda,-122.279303,37.781017,5667.0
Allan Hancock College,Santa Barbara,-120.421144,34.943715999999995,11894.0
American Academy of Dramatic Arts-Los Angeles,Los Angeles,-118.343701,34.095378000000004,251.0
American Baptist Seminary of the West,Alameda,-122.256149,37.865252000000005,39.0
American Film Institute Conservatory,Los Angeles,-118.310018,34.10767,334.0
American Beauty College,Los Angeles,-117.936959,34.069367,92.0
American Career College-Los Angeles,Los Angeles,-118.29248100000001,34.079322999999995,1567.0
American Conservatory Theater,San Francisco,-122.40475,37.787343,43.0
American River College,Sacramento,-121.349672,38.65085,31265.0
Antelope Valley College,Los Angeles,-118.18616599999999,34.676207,13909.0
Art Center College of Design,Los Angeles,-118.185102,34.169031,2335.0
Associated Technical College-Los Angeles,Los Angeles,-118.272364,34.056102,335.0
Associated Technical College-San Diego,San Diego,-117.15798799999999,32.715375,85.0
Azusa Pacific University,Los Angeles,-117.888375,34.130047,9297.0
Bakersfield College,Kern,-118.973753,35.40911,26380.0
Barstow Community College,San Bernardino,-117.02341200000001,34.870284999999996,3078.0
Bellus Academy-Chula Vista,San Diego,-117.08373799999998,32.614773,239.0
Bethesda University,Orange,-117.941323,33.842295,397.0
Biola University,Los Angeles,-118.014374,33.906203000000005,6103.0
Brownson Technical School,Orange,-117.905774,33.819032,53.0
Butte College,Butte,-121.64483100000001,39.649782,10100.0
California Institute of Integral Studies,San Francisco,-122.416102,37.774924,1476.0
Cabrillo College,Santa Cruz,-121.924797,36.989447999999996,11033.0
California Baptist University,Riverside,-117.425619,33.929321,11045.0
California College of the Arts,San Francisco,-122.399451,37.767485,1860.0
University of California-Hastings College of Law,San Francisco,-122.4157,37.781137,979.0
California Institute of Technology,Los Angeles,-118.125878,34.137349,2237.0
California Lutheran University,Ventura,-118.878924,34.224565999999996,4303.0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,-120.657311,35.299513,21426.0
Alliant International University-San Diego,San Diego,-117.094398,32.897056,3536.0
California State University-Bakersfield,Kern,-119.10471100000001,35.350004999999996,11531.0
California State University-Stanislaus,Stanislaus,-120.852511,37.52577,10974.0
California State University-San Bernardino,San Bernardino,-117.323801,34.182621999999995,20638.0
California State Polytechnic University-Pomona,Los Angeles,-117.821476,34.057912,28058.0
California State University-Chico,Butte,-121.84485900000001,39.729712,17110.0
California State University-Dominguez Hills,Los Angeles,-118.255917,33.864765999999996,17977.0
California State University-Fresno,Fresno,-119.744569,36.811153999999995,24298.0
California State University-Fullerton,Orange,-117.885446,33.881506,40445.0
California State University-East Bay,Alameda,-122.054135,37.657694,16064.0
California State University-Long Beach,Los Angeles,-118.11204,33.782818,38674.0
California State University-Los Angeles,Los Angeles,-118.16896499999999,34.066927,26671.0
California State University-Northridge,Los Angeles,-118.529319,34.240126000000004,39910.0
California State University-Sacramento,Sacramento,-121.423549,38.559415,31992.0
University of California-Berkeley,Alameda,-122.26046299999999,37.871918,43185.0
University of California-Davis,Yolo,-121.749567,38.539667,38634.0
University of California-Irvine,Orange,-117.841248,33.648434,36908.0
University of California-Los Angeles,Los Angeles,-118.443901,34.068892,44371.0
University of California-Riverside,Riverside,-117.32741000000001,33.97246,25547.0
University of California-San Diego,San Diego,-117.23586599999999,32.877749,38736.0
University of California-San Francisco,San Francisco,-122.45848899999999,37.763737,3180.0
University of California-Santa Barbara,Santa Barbara,-119.846426,34.416297,26314.0
University of California-Santa Cruz,Santa Cruz,-122.058801,36.995584,19494.0
Sofia University,Santa Clara,-122.10866000000001,37.430325,1349.0
California Beauty School,Stanislaus,-120.99689,37.645216999999995,105.0
California Christian College,Fresno,-119.711123,36.749365999999995,11.0
California Graduate School of Theology,Orange,-117.93611899999999,33.774619,32.0
California Hair Design Academy,San Diego,-117.02426100000001,32.765221000000004,128.0
California Institute of the Arts,Los Angeles,-118.566837,34.39327,1520.0
California State University Maritime Academy,Solano,-122.231551,38.069061,941.0
California Western School of Law,San Diego,-117.162416,32.722192,793.0
Canada College,San Mateo,-122.265398,37.44877,5799.0
College of the Canyons,Los Angeles,-118.568698,34.403993,19089.0
Career Academy of Beauty,Orange,-118.031697,33.781017999999996,159.0
Casa Loma College-Van Nuys,Los Angeles,-118.45778100000001,34.192828999999996,162.0
CET-San Diego,San Diego,-117.105328,32.711302,170.0
CET-San Jose,Santa Clara,-121.88698000000001,37.322722999999996,229.0
CET-El Centro,Imperial,-115.549079,32.790908,217.0
CET-Colton,San Bernardino,-117.35348799999998,34.077381,166.0
CET-Watsonville,Santa Cruz,-121.767991,36.931833000000005,116.0
CET-Salinas,Monterey,-121.65236000000002,36.707333,144.0
Cerritos College,Los Angeles,-118.09733700000001,33.886874,22287.0
Cerro Coso Community College,Kern,-117.66767,35.567525,5607.0
Chabot College,Alameda,-122.105636,37.642458000000005,13522.0
Chaffey College,San Bernardino,-117.57393200000001,34.147663,22731.0
Chapman University,Orange,-117.85251799999999,33.79302,9850.0
Charles R Drew University of Medicine and Science,Los Angeles,-118.242791,33.925658,748.0
Concordia University-Irvine,Orange,-117.81230500000001,33.653665000000004,3911.0
San Diego Christian College,San Diego,-116.97811200000001,32.842403999999995,551.0
Church Divinity School of the Pacific,Alameda,-122.261122,37.876184,75.0
Citrus College,Los Angeles,-117.88526599999999,34.135487,13130.0
Citrus Heights Beauty College,Sacramento,-121.289529,38.712951000000004,123.0
City College of San Francisco,San Francisco,-122.451155,37.725953000000004,24441.0
Claremont Graduate University,Los Angeles,-117.71370300000001,34.103584999999995,1950.0
Claremont McKenna College,Los Angeles,-117.71118799999999,34.102154,1346.0
Milan Institute-Visalia,Tulare,-119.312151,36.271640000000005,395.0
Clovis Adult Education,Fresno,-119.69036899999999,36.834459,671.0
Coastline Community College,Orange,-117.929143,33.715634,10822.0
Cogswell College,Santa Clara,-121.94086999999999,37.414049,552.0
Coba Academy,Orange,-117.94310800000001,33.841141,81.0
Western University of Health Sciences,Los Angeles,-117.74773200000001,34.058091999999995,3792.0
Columbia College,Tuolumne,-120.38838500000001,38.030367,2616.0
Columbia College Hollywood,Los Angeles,-118.538793,34.17972,870.0
Compton College,Los Angeles,-118.20946299999999,33.878226,5760.0
Contra Costa College,Contra Costa,-122.337377,37.969381,7127.0
Cosumnes River College,Sacramento,-121.42310800000001,38.45295,14398.0
Crafton Hills College,San Bernardino,-117.101173,34.039178,6749.0
Cuesta College,San Luis Obispo,-120.74223500000001,35.331276,11281.0
Cuyamaca College,San Diego,-116.94350700000001,32.744954,8697.0
Cypress College,Orange,-118.025143,33.82833,15679.0
De Anza College,Santa Clara,-122.04555800000001,37.320788,18669.0
International School of Beauty Inc,Riverside,-116.40392800000001,33.729555,143.0
Dell'Arte International School of Physical Theatre,Humboldt,-123.988808,40.880924,31.0
College of the Desert,Riverside,-116.388271,33.732108000000004,11919.0
Design Institute of San Diego,San Diego,-117.167374,32.880926,121.0
Diablo Valley College,Contra Costa,-122.07314199999999,37.968515999999994,19871.0
Dominican University of California,Marin,-122.512051,37.981279,1878.0
Dominican School of Philosophy & Theology,Alameda,-122.26461200000001,37.881099,67.0
East Los Angeles College,Los Angeles,-118.148785,34.040531,36885.0
El Camino Community College District,Los Angeles,-118.32991299999999,33.885228999999995,24223.0
Emperor's College of Traditional Oriental Medicine,Los Angeles,-118.485119,34.030438000000004,237.0
Empire College,Sonoma,-122.72933700000002,38.468052,371.0
Evergreen Valley College,Santa Clara,-121.76561000000001,37.30167,9774.0
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,-118.25993000000001,34.044209,2227.0
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,-122.406651,37.786353000000005,188.0
Feather River Community College District,Plumas,-120.97306699999999,39.953101000000004,2058.0
Federico Beauty Institute,Sacramento,-121.49776100000001,38.64883,326.0
Fielding Graduate University,Santa Barbara,-119.717161,34.42941,981.0
Five Branches University,Santa Cruz,-121.998245,36.964348,353.0
Redondo Beach Beauty College,Los Angeles,-118.37213700000001,33.873098,76.0
Foothill College,Santa Clara,-122.12796399999999,37.361655,15123.0
Franciscan School of Theology,San Diego,-117.320066,33.232416,54.0
Fredrick and Charles Beauty College,Humboldt,-124.16498600000001,40.798885,55.0
Fresno City College,Fresno,-119.79609599999999,36.768164,24806.0
Fresno Pacific University,Fresno,-119.735199,36.726831,4300.0
Fuller Theological Seminary,Los Angeles,-118.14026100000001,34.14778,2265.0
Fullerton College,Orange,-117.918255,33.875514,22613.0
Gavilan College,Santa Clara,-121.569842,36.972627,5573.0
Gemological Institute of America-Carlsbad,San Diego,-117.31876499999998,33.131313,167.0
Glendale Community College,Los Angeles,-118.22766599999999,34.16745,13584.0
Glendale Career College,Los Angeles,-118.254719,34.149771,611.0
Golden Gate University-San Francisco,San Francisco,-122.398969,37.789374,2432.0
Golden West College,Orange,-118.002568,33.732531,12025.0
Graduate Theological Union,Alameda,-122.261847,37.87554,197.0
Grossmont College,San Diego,-117.006277,32.815246,16958.0
Salon Success Academy-Riverside,Riverside,-117.391024,33.943149,92.0
Hartnell College,Monterey,-121.666054,36.675090999999995,13024.0
Harvey Mudd College,Los Angeles,-117.70983700000001,34.106515,904.0
Hilltop Beauty School,San Mateo,-122.461467,37.705502,111.0
Holy Names University,Alameda,-122.187804,37.802276,966.0
Pacifica Graduate Institute,Santa Barbara,-119.58041399999999,34.420881,829.0
Humboldt State University,Humboldt,-124.07829299999999,40.877481,7180.0
Humphreys University-Stockton and Modesto Campuses,San Joaquin,-121.31691799999999,38.011489000000005,486.0
Imperial Valley College,Imperial,-115.50356299999999,32.827209,8511.0
Institute for Business and Technology,Santa Clara,-121.96954099999999,37.368642,542.0
Interior Designers Institute,Orange,-117.86572199999999,33.641393,139.0
Toni & Guy Hairdressing Academy-Santa Monica,Los Angeles,-118.494755,34.017276,191.0
Irvine Valley College,Orange,-117.77753899999999,33.675381,12812.0
Bellus Academy-El Cajon,San Diego,-116.94627,32.794072,200.0
John F. Kennedy University,Contra Costa,-122.05476100000001,37.956616,1125.0
American Jewish University,Los Angeles,-118.47170600000001,34.128153000000005,108.0
Reedley College,Fresno,-119.458555,36.605428,11296.0
Life Pacific University,Los Angeles,-117.829388,34.098704999999995,552.0
University of La Verne,Los Angeles,-117.77326200000002,34.100854999999996,7396.0
Laguna College of Art and Design,Orange,-117.77256399999999,33.561448,834.0
Lake Tahoe Community College,El Dorado,-119.972574,38.926797,2577.0
Lancaster Beauty School,Los Angeles,-118.147547,34.694914000000004,134.0
Laney College,Alameda,-122.26283000000001,37.797257,10424.0
Lassen Community College,Lassen,-120.633271,40.432053,2526.0
Life Chiropractic College West,Alameda,-122.11761899999999,37.638099,600.0
Lincoln Law School of Sacramento,Sacramento,-121.464021,38.57216,207.0
Lincoln University,Alameda,-122.269745,37.804788,475.0
Southern California Seminary,San Diego,-116.90546100000002,32.799614,176.0
La Sierra University,Riverside,-117.500054,33.910703999999996,2159.0
Loma Linda University,San Bernardino,-117.260605,34.051241,4462.0
Long Beach City College,Los Angeles,-118.13563300000001,33.833593,24127.0
Southern California University of Health Sciences,Los Angeles,-117.983401,33.922965999999995,1386.0
Los Angeles Harbor College,Los Angeles,-118.28186000000001,33.784201,8694.0
Los Angeles Pierce College,Los Angeles,-118.575071,34.183949,18765.0
Los Angeles Southwest College,Los Angeles,-118.304674,33.929586,6409.0
Los Angeles Trade Technical College,Los Angeles,-118.269447,34.031907000000004,13094.0
Los Angeles Valley College,Los Angeles,-118.42173400000001,34.175165,16982.0
The Master's University and Seminary,Los Angeles,-118.518193,34.381755,2006.0
Los Angeles City College,Los Angeles,-118.292169,34.087301000000004,14937.0
Los Angeles County College of Nursing and Allied Health,Los Angeles,-118.21185200000001,34.062647,199.0
Los Angeles Mission College,Los Angeles,-118.4195,34.314668,10128.0
Los Medanos College,Contra Costa,-121.86096699999999,38.006474,9435.0
Loyola Marymount University,Los Angeles,-118.41574399999999,33.97085,9822.0
Lu Ross Academy,Ventura,-119.293952,34.278034000000005,215.0
Lyle's College of Beauty,Kern,-119.02387,35.386539,88.0
Lyle's College of  Beauty,Fresno,-119.77416699999999,36.836265000000004,83.0
Lytles Redwood Empire Beauty College Inc,Sonoma,-122.75777,38.508385,115.0
MTI College,Sacramento,-121.342568,38.661377,756.0
College of Marin,Marin,-122.549149,37.954896999999995,5182.0
Marymount California University,Los Angeles,-118.333371,33.734887,647.0
Mendocino College,Mendocino,-123.22880900000001,39.188989,3960.0
Menlo College,San Mateo,-122.190797,37.453475,894.0
Merced College,Merced,-120.47646399999999,37.3353,11173.0
Merritt College,Alameda,-122.16733500000001,37.789088,6857.0
Mills College,Alameda,-122.182294,37.781425,1122.0
MiraCosta College,San Diego,-117.30260600000001,33.190483,12992.0
Mission College,Santa Clara,-121.980783,37.391935,6995.0
Modern Beauty Academy,Ventura,-119.181423,34.195384000000004,50.0
Modesto Junior College,Stanislaus,-121.00979199999999,37.651056,18068.0
Moler Barber College,Alameda,-122.26535200000001,37.827075,279.0
Middlebury Institute of International Studies at Monterey,Monterey,-121.897325,36.599736,688.0
Monterey Peninsula College,Monterey,-121.88493100000001,36.590558,7920.0
Moorpark College,Ventura,-118.834528,34.301146,14275.0
Mt San Antonio College,Los Angeles,-117.84662900000001,34.047764,29799.0
Mount Saint Mary's University,Los Angeles,-118.482879,34.085315,2855.0
Mt San Jacinto Community College District,Riverside,-116.97116899999999,33.806748,15597.0
Musicians Institute,Los Angeles,-118.33758200000001,34.101265000000005,1022.0
Napa Valley College,Napa,-122.274381,38.274081,5292.0
National Holistic Institute,Alameda,-122.287672,37.841898,1237.0
National University,San Diego,-117.243026,32.909894,16670.0
Naval Postgraduate School,Monterey,-121.874248,36.597159000000005,2841.0
Newschool of Architecture and Design,San Diego,-117.153305,32.71331,497.0
Newberry School of Beauty,Los Angeles,-118.499693,34.256683,113.0
North Adrian's College of Beauty Inc,Stanislaus,-120.99275300000001,37.677778,236.0
North-West College-Pomona,Los Angeles,-117.751227,34.062043,187.0
North-West College-West Covina,Los Angeles,-117.949583,34.072071,700.0
North-West College-Van Nuys,Los Angeles,-118.45018400000001,34.189496999999996,198.0
Northwestern Polytechnic University,Alameda,-121.925953,37.477990999999996,30.0
Notre Dame de Namur University,San Mateo,-122.28479399999999,37.517111,1363.0
Occidental College,Los Angeles,-118.210908,34.127124,1985.0
Ohlone College,Alameda,-121.916339,37.52773,8900.0
Orange Coast College,Orange,-117.90908600000002,33.669270000000004,20042.0
Otis College of Art and Design,Los Angeles,-118.416615,33.956607,1183.0
Oxnard College,Ventura,-119.157604,34.166104,7464.0
Hope International University,Orange,-117.88573000000001,33.87616,1130.0
Concorde Career College-San Diego,San Diego,-117.102845,32.702814000000004,730.0
Palo Alto University,Santa Clara,-122.18743700000002,37.382216,1075.0
Pacific Oaks College,Los Angeles,-118.151323,34.153382,1163.0
Pacific School of Religion,Alameda,-122.263155,37.87669,98.0
Pacific States University,Los Angeles,-118.29840800000001,34.061315,28.0
Pacific Union College,Napa,-122.440308,38.570584999999994,909.0
University of the Pacific,San Joaquin,-121.312301,37.981424,6447.0
Palo Verde College,Riverside,-114.651698,33.661538,4540.0
Palomar College,San Diego,-117.183978,33.149483000000004,23874.0
Pasadena City College,Los Angeles,-118.118196,34.144552000000004,26971.0
Pepperdine University,Los Angeles,-118.707077,34.037786,8824.0
Pitzer College,Los Angeles,-117.706675,34.104107,1086.0
Platt College-San Diego,San Diego,-117.063483,32.763729999999995,115.0
Point Loma Nazarene University,San Diego,-117.25026499999998,32.718391,4567.0
Pomona College,Los Angeles,-117.714556,34.099027,1637.0
Porterville College,Tulare,-119.01436799999999,36.049256,4350.0
Professional Institute of Beauty,Los Angeles,-118.039028,34.075561,111.0
Santa Ana College,Orange,-117.88755800000001,33.759309,27052.0
Pardee RAND Graduate School,Los Angeles,-118.490655,34.00973,108.0
Shasta School of Cosmetology,Shasta,-122.387248,40.597114000000005,37.0
University of Redlands,San Bernardino,-117.163218,34.064218,4832.0
College of the Redwoods,Humboldt,-124.19529299999999,40.698427,4665.0
Salon Success Academy-Upland,San Bernardino,-117.63178300000001,34.108247,164.0
Salon Success Academy-Corona,Riverside,-117.53563799999999,33.847649,116.0
Rio Hondo College,Los Angeles,-118.033506,34.019821,19358.0
Riverside City College,Riverside,-117.384323,33.970918,21118.0
Rosemead Beauty School,Los Angeles,-118.082793,34.080756,344.0
Dongguk University-Los Angeles,Los Angeles,-118.289523,34.06597,131.0
Sacramento City College,Sacramento,-121.49113899999999,38.541096,20829.0
Saddleback College,Orange,-117.66558400000001,33.553346000000005,19709.0
Samuel Merritt University,Alameda,-122.26633100000001,37.82029,2029.0
San Diego City College,San Diego,-117.15273300000001,32.717403000000004,14056.0
San Diego Mesa College,San Diego,-117.16916499999999,32.803825,20712.0
San Diego Miramar College,San Diego,-117.12026100000001,32.909757,14127.0
San Diego State University,San Diego,-117.071228,32.77525,35544.0
University of San Diego,San Diego,-117.192073,32.770815999999996,9181.0
San Francisco Art Institute,San Francisco,-122.417,37.803575,332.0
San Francisco Conservatory of Music,San Francisco,-122.42029199999999,37.775543,452.0
San Francisco State University,San Francisco,-122.476799,37.721224,29032.0
San Francisco Theological Seminary,Marin,-122.56540700000001,37.969952,99.0
University of San Francisco,San Francisco,-122.450477,37.776618,10636.0
San Joaquin College of Law,Fresno,-119.697657,36.82448,171.0
San Joaquin Delta College,San Joaquin,-121.318266,37.995129,18533.0
San Joaquin Valley College-Visalia,Tulare,-119.38498100000001,36.328049,6621.0
William Jessup University,Placer,-121.29231200000001,38.819728000000005,1743.0
San Jose City College,Santa Clara,-121.926185,37.315827,8760.0
San Jose State University,Santa Clara,-121.88062099999999,37.336569,36085.0
College of San Mateo,San Mateo,-122.334801,37.535698,8163.0
Santa Barbara Business College-Bakersfield,Kern,-119.061264,35.359544,309.0
Santa Barbara Business College-Santa Maria,Santa Barbara,-120.433296,34.937806,89.0
Santa Barbara City College,Santa Barbara,-119.698045,34.406788,14133.0
Santa Clara University,Santa Clara,-121.93784,37.348362,8669.0
Santa Monica College,Los Angeles,-118.469765,34.017022,27497.0
Santa Rosa Junior College,Sonoma,-122.718974,38.45709,19101.0
Saybrook University,Los Angeles,-118.15215500000001,34.153103,688.0
Scripps College,Los Angeles,-117.711294,34.104147,1109.0
College of the Sequoias,Tulare,-119.31518200000001,36.323877,12815.0
Shasta Bible College and Graduate School,Shasta,-122.314419,40.566034,41.0
Shasta College,Shasta,-122.317982,40.625731,9307.0
Sierra College,Placer,-121.211688,38.790773,18226.0
Sierra College of Beauty,Merced,-120.495874,37.306975,138.0
Trinity Law School,Orange,-117.85205900000001,33.766071000000004,326.0
Simpson University,Shasta,-122.332981,40.61334,854.0
College of the Siskiyous,Siskiyou,-122.38909,41.413005,1761.0
Charles A Jones Career and Education Center,Sacramento,-121.44079599999999,38.516233,243.0
Skyline College,San Mateo,-122.467335,37.63042,8803.0
San Bernardino Valley College,San Bernardino,-117.313248,34.086353,14872.0
Saint Mary's College of California,Contra Costa,-122.109031,37.840731,3692.0
Solano Community College,Solano,-122.122368,38.235881,9330.0
Sonoma State University,Sonoma,-122.677066,38.340274,8887.0
South Baylo University,Orange,-117.958727,33.848216,338.0
South Coast College,Orange,-117.874031,33.78818,226.0
Vanguard University of Southern California,Orange,-117.90091100000001,33.662686,2175.0
Concorde Career College-Garden Grove,Orange,-117.938395,33.774741,589.0
Southwestern College,San Diego,-116.996803,32.640281,19231.0
St John's Seminary,Ventura,-119.00186699999999,34.243921,104.0
Starr King School for the Ministry,Alameda,-122.261778,37.876939,88.0
Marshall B Ketchum University,Orange,-117.886229,33.889348,739.0
Southern California Institute of Architecture,Los Angeles,-118.232799,34.044215,497.0
University of Southern California,Los Angeles,-118.28416899999999,34.021281,48321.0
Southwestern Law School,Los Angeles,-118.288375,34.061558000000005,819.0
Taft College,Kern,-119.459751,35.149343,5968.0
Claremont School of Theology,Los Angeles,-117.71525600000001,34.107602,331.0
Thomas Aquinas College,Ventura,-119.08714099999999,34.429009,439.0
Epic Bible College,Sacramento,-121.362642,38.645152,145.0
United Education Institute-Huntington Park Campus,Los Angeles,-118.226206,33.986057,921.0
Concorde Career College-San Bernardino,San Bernardino,-117.28399499999999,34.066823,572.0
Concorde Career College-North Hollywood,Los Angeles,-118.403627,34.186407,601.0
Ventura College,Ventura,-119.230604,34.277393,12696.0
The Santa Barbara and Ventura Colleges of Law at Ventura,Ventura,-119.23298799999999,34.25747,187.0
Victor Valley College,San Bernardino,-117.26145600000001,34.472231,13126.0
Berkeley City College,Alameda,-122.26987700000001,37.869769,5644.0
Waynes College of Beauty,Monterey,-121.652672,36.700635,42.0
West Hills College-Coalinga,Fresno,-120.356747,36.147890999999994,4198.0
West Los Angeles College,Los Angeles,-118.386664,34.004512,13048.0
West Valley College,Santa Clara,-122.008324,37.26398,7619.0
Carrington College-Sacramento,Sacramento,-121.37133100000001,38.556151,3261.0
Westminster Theological Seminary in California,San Diego,-117.046371,33.121446999999996,133.0
Westmont College,Santa Barbara,-119.662517,34.450151,1317.0
Whittier College,Los Angeles,-118.032299,33.978773,1841.0
Woodbury University,Los Angeles,-118.34114699999999,34.208011,1225.0
The Wright Institute,Alameda,-122.25316799999999,37.868221000000005,487.0
Thomas Jefferson School of Law,San Diego,-117.15786200000001,32.717595,219.0
